periode_data,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
201001,2010-01-01,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-01,DKI1 (Bunderan HI),60.0,,4.0,73.0,27.0,14.0,73.0,CO,SEDANG
201001,2010-01-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-01,DKI2 (Kelapa Gading),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-01,DKI3 (Jagakarsa),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-02,DKI1 (Bunderan HI),32.0,,2.0,16.0,33.0,9.0,33.0,O3,BAIK
201001,2010-01-02,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-02,DKI2 (Kelapa Gading),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-02,DKI3 (Jagakarsa),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-03,DKI2 (Kelapa Gading),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-03,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-03,DKI3 (Jagakarsa),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-03,DKI1 (Bunderan HI),27.0,,2.0,19.0,20.0,9.0,27.0,PM10,BAIK
201001,2010-01-04,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-04,DKI3 (Jagakarsa),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-04,DKI2 (Kelapa Gading),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-04,DKI1 (Bunderan HI),22.0,,2.0,16.0,15.0,6.0,22.0,PM10,BAIK
201001,2010-01-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-05,DKI1 (Bunderan HI),25.0,,2.0,17.0,15.0,8.0,25.0,PM10,BAIK
201001,2010-01-05,DKI2 (Kelapa Gading),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-05,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-05,DKI3 (Jagakarsa),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
201001,2010-01-06,DKI5 (Kebon Jeruk),,,,,,,0.0,,TIDAK ADA DATA
